trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
92,0,92,0,186.79924630000096,,186.7657368,10,186.79924630000096,186.79924630000096,0.021357800000259886,188.97779079999964,[-0.32037037037037036],[0.4537037037037037],[1],[0],[0],[2.190795700000308],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
93,0,93,0,189.01704479999898,,188.97997250000117,10,189.01704479999898,189.01704479999898,0.019973399997979868,192.02617680000185,[0.12777777777777777],[-0.34629629629629627],[1],[0],[0],[3.026207399998384],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
94,0,94,0,192.04386370000066,,192.02878559999954,5,192.04386370000066,192.04386370000066,0.00971420000132639,193.24211139999898,[0.001851851851851852],[-0.14444444444444443],[1],[0],[0],[1.2037639000009221],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
95,0,95,0,193.2631313999991,,193.2444976000006,5,193.2631313999991,193.2631313999991,0.010396399997262051,194.82398029999968,[-0.2601851851851852],[0.15092592592592594],[1],[0],[0],[1.5692827999992005],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
96,0,96,0,194.8640723999997,,194.8264237000003,10,194.8640723999997,194.8640723999997,0.02417020000211778,196.73968679999962,[0.17037037037037037],[-0.2101851851851852],[1],[0],[0],[1.8892651999994996],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
97,0,97,0,196.761568599999,,196.7434386999994,5,196.761568599999,196.761568599999,0.012531099997431738,198.50595330000215,[-0.44537037037037036],[0.37962962962962965],[1],[0],[0],[1.75048660000175],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
98,0,98,0,198.52824659999897,,198.50901330000124,5,198.52824659999897,198.52824659999897,0.010276800003339304,199.73749930000122,[-0.32407407407407407],[0.025925925925925925],[1],[0],[0],[1.2184198000031756],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
99,0,99,0,199.75802720000138,,199.7399824000022,5,199.75802720000138,199.75802720000138,0.010037600000941893,201.3703561000002,[0.13518518518518519],[-0.3416666666666667],[1],[0],[0],[1.6204321999975946],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
100,0,100,0,201.39122630000202,,201.37354720000076,5,201.39122630000202,201.39122630000202,0.010363199999119388,202.71941349999906,[0.3],[0.17222222222222222],[1],[0],[0],[1.335845400000835],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
101,0,101,0,202.75336030000108,,202.72234500000195,10,202.75336030000108,202.75336030000108,0.0197985000013432,203.83470619999935,[0.487962962962963],[0.2388888888888889],[1],[0],[0],[1.0929391000026953],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
